Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2022-12-27,2022-12-28,2023-01-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,REVERSAL,IN,2023-01-28
2022-12-27,2022-12-28,2023-01-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,REVERSAL,IN,2023-01-28
2022-12-27,2022-12-28,2023-01-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,DECLINED,REVERSAL,IN,2023-01-28
2022-12-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2022-12-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,DECLINED,,IN,
2022-12-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2022-11-27,2022-11-28,2022-12-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2022-12-28
2022-11-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-11-27,2022-11-28,2022-12-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2022-12-28
2022-11-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2022-11-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2022-10-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,NEW,,IN,
2022-10-27,2022-10-28,2022-11-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2022-11-28
2022-10-27,2022-10-28,2022-11-27,SUBSCRIPTION,VISA,4700,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2022-11-28
2022-10-27,,,payment_transaction,CC,4700,,,,INR,,649.0,SALE,APPROVED,,IN,
2022-10-23,,,payment_transaction,CC,4700,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
